Year,WeekOfYear,Product_ID,Store_ID,Category,Region,Sales_Quantity,Inventory_Level,Price,Cost,Week_Start,Sales_Lag_1,Sales_Lag_2,Sales_Lag_3,Sales_Lag_4,Sales_Rolling_2,Sales_Rolling_4,Sales_Rolling_8,Inventory_Turnover,Gross_Margin
2022,5,P001,S01,Clothing,North,26,8.0,17.76,10.66,2022-01-31,26.0,56.0,41.0,32.0,41.0,38.75,38.75,3.25,184.60000000000002
2022,5,P009,S01,Toys,North,127,33.57142857142857,54.089999999999996,32.46,2022-01-31,75.0,56.0,95.0,96.0,65.5,80.5,80.5,3.7829787234042556,2747.0099999999993
2022,5,P003,S01,Food,North,29,5.0,34.15,20.49,2022-01-31,61.0,46.0,64.0,59.0,53.5,57.5,57.5,5.8,396.14
2022,5,P005,S02,Electronics,South,66,20.428571428571427,30.26,18.15,2022-01-31,95.0,98.0,112.0,57.0,96.5,90.5,90.5,3.230769230769231,799.2600000000002
2022,5,P005,S04,Electronics,West,208,46.0,30.26,18.15,2022-01-31,162.0,174.0,107.0,128.0,168.0,142.75,142.75,4.521739130434782,2518.8800000000006
2022,5,P008,S05,Food,Central,425,91.57142857142857,46.58,27.95,2022-01-31,366.0,359.0,302.0,358.0,362.5,346.25,346.25,4.641185647425897,7917.75
2022,5,P006,S05,Clothing,Central,311,66.57142857142857,40.8,24.48,2022-01-31,284.0,272.0,274.0,227.0,278.0,264.25,264.25,4.671673819742489,5075.519999999999
2022,5,P007,S02,Home Goods,South,85,24.714285714285715,54.37,32.62,2022-01-31,107.0,141.0,100.0,133.0,124.0,120.25,120.25,3.439306358381503,1848.75
2022,5,P003,S02,Food,South,48,20.714285714285715,34.15,20.49,2022-01-31,51.0,78.0,55.0,71.0,64.5,63.75,63.75,2.3172413793103446,655.6800000000001
2022,5,P010,S03,Electronics,East,303,63.857142857142854,61.28000000000001,36.77,2022-01-31,273.0,273.0,218.0,284.0,273.0,262.0,262.0,4.744966442953021,7426.530000000002
2022,5,P008,S04,Food,West,316,56.57142857142857,46.58,27.95,2022-01-31,311.0,289.0,228.0,244.0,300.0,268.0,268.0,5.585858585858586,5887.08
2022,5,P004,S02,Toys,South,76,23.857142857142858,27.59,16.56,2022-01-31,81.0,66.0,85.0,49.0,73.5,70.25,70.25,3.18562874251497,838.2800000000001
2022,5,P004,S05,Toys,Central,181,46.42857142857143,27.59,16.56,2022-01-31,179.0,198.0,170.0,158.0,188.5,176.25,176.25,3.898461538461538,1996.4300000000003
2022,5,P003,S03,Food,East,88,17.857142857142858,34.15,20.49,2022-01-31,104.0,92.0,102.0,65.0,98.0,90.75,90.75,4.928,1202.08
2022,5,P010,S04,Electronics,West,422,91.42857142857143,61.28000000000001,36.77,2022-01-31,352.0,352.0,374.0,291.0,352.0,342.25,342.25,4.615625,10343.220000000003
2022,5,P006,S01,Clothing,North,51,10.142857142857142,40.8,24.48,2022-01-31,67.0,41.0,32.0,46.0,54.0,46.5,46.5,5.028169014084507,832.3199999999998
2022,5,P007,S05,Home Goods,Central,345,79.42857142857143,54.37,32.62,2022-01-31,317.0,311.0,253.0,219.0,314.0,275.0,275.0,4.343525179856115,7503.75
2022,5,P008,S03,Food,East,169,37.142857142857146,46.58,27.95,2022-01-31,256.0,205.0,221.0,213.0,230.5,223.75,223.75,4.55,3148.47
2022,5,P001,S04,Clothing,West,41,14.571428571428571,17.76,10.66,2022-01-31,58.0,47.0,39.0,32.0,52.5,44.0,44.0,2.8137254901960786,291.1000000000001
2022,5,P005,S01,Electronics,North,68,20.857142857142858,30.26,18.15,2022-01-31,97.0,39.0,51.0,30.0,68.0,54.25,54.25,3.2602739726027394,823.4800000000002
2022,5,P003,S04,Food,West,85,36.57142857142857,34.15,20.49,2022-01-31,144.0,88.0,126.0,87.0,116.0,111.25,111.25,2.32421875,1161.1
2022,5,P007,S01,Home Goods,North,67,16.142857142857142,54.37,32.62,2022-01-31,31.0,89.0,66.0,64.0,60.0,62.5,62.5,4.150442477876107,1457.25
2022,5,P001,S02,Clothing,South,57,22.857142857142858,17.76,10.66,2022-01-31,28.0,32.0,44.0,36.0,30.0,35.0,35.0,2.49375,404.7000000000001
2022,5,P010,S05,Electronics,Central,506,110.71428571428571,61.28000000000001,36.77,2022-01-31,492.0,446.0,447.0,404.0,469.0,447.25,447.25,4.570322580645161,12402.060000000003
2022,5,P004,S01,Toys,North,62,17.0,27.59,16.56,2022-01-31,60.0,44.0,41.0,21.0,52.0,41.5,41.5,3.6470588235294117,683.8600000000001
2022,5,P008,S01,Food,North,59,21.142857142857142,46.58,27.95,2022-01-31,54.0,85.0,102.0,89.0,69.5,82.5,82.5,2.790540540540541,1099.1699999999998
2022,5,P008,S02,Food,South,157,47.142857142857146,46.58,27.95,2022-01-31,104.0,123.0,119.0,127.0,113.5,118.25,118.25,3.33030303030303,2924.91
2022,5,P003,S05,Food,Central,107,24.142857142857142,34.15,20.49,2022-01-31,189.0,136.0,135.0,118.0,162.5,144.5,144.5,4.431952662721893,1461.6200000000001
2022,5,P010,S01,Electronics,North,93,21.571428571428573,61.28000000000001,36.77,2022-01-31,102.0,101.0,77.0,75.0,101.5,88.75,88.75,4.311258278145695,2279.4300000000003
2022,5,P006,S03,Clothing,East,138,30.714285714285715,40.8,24.48,2022-01-31,171.0,131.0,167.0,151.0,151.0,155.0,155.0,4.493023255813953,2252.1599999999994
2022,5,P009,S05,Toys,Central,450,94.85714285714286,54.089999999999996,32.46,2022-01-31,407.0,377.0,341.0,401.0,392.0,381.5,381.5,4.743975903614458,9733.499999999998
2022,5,P002,S01,Home Goods,North,33,6.571428571428571,17.62,10.570000000000002,2022-01-31,27.0,32.0,33.0,32.0,29.5,31.0,31.0,5.021739130434783,232.64999999999998
2022,5,P006,S04,Clothing,West,225,33.57142857142857,40.8,24.48,2022-01-31,179.0,204.0,221.0,189.0,191.5,198.25,198.25,6.702127659574469,3671.999999999999
