Date,Product_ID,Store_ID,Sales_Quantity,Inventory_Level
2022-01-01,P001,S01,6,6
2022-01-01,P001,S02,8,42
2022-01-01,P001,S03,1,0
2022-01-01,P001,S04,20,45
2022-01-01,P001,S05,1,12
2022-01-01,P002,S01,0,0
2022-01-01,P002,S02,7,0
2022-01-01,P002,S03,0,0
2022-01-01,P002,S04,0,6
2022-01-01,P002,S05,3,0
2022-01-01,P003,S01,18,22
2022-01-01,P003,S02,7,0
2022-01-01,P003,S03,5,9
2022-01-01,P003,S04,3,12
2022-01-01,P003,S05,12,12
2022-01-01,P004,S01,0,37
2022-01-01,P004,S02,9,0
2022-01-01,P004,S03,22,8
2022-01-01,P004,S04,21,0
2022-01-01,P004,S05,10,18
2022-01-01,P005,S01,13,22
2022-01-01,P005,S02,10,8
2022-01-01,P005,S03,3,0
2022-01-01,P005,S04,19,49
2022-01-01,P005,S05,33,14
2022-01-01,P006,S01,10,7
2022-01-01,P006,S02,7,22
2022-01-01,P006,S03,32,66
2022-01-01,P006,S04,20,23
2022-01-01,P006,S05,39,78
2022-01-01,P007,S01,3,0
2022-01-01,P007,S02,5,0
2022-01-01,P007,S03,33,76
2022-01-01,P007,S04,33,69
2022-01-01,P007,S05,46,56
2022-01-01,P008,S01,13,50
2022-01-01,P008,S02,19,59
2022-01-01,P008,S03,2,19
2022-01-01,P008,S04,39,52
2022-01-01,P008,S05,49,33
2022-01-01,P009,S01,8,19
2022-01-01,P009,S02,36,43
2022-01-01,P009,S03,24,25
2022-01-01,P009,S04,52,84
2022-01-01,P009,S05,49,83
2022-01-01,P010,S01,13,38
2022-01-01,P010,S02,17,18
2022-01-01,P010,S03,32,18
2022-01-01,P010,S04,51,81
2022-01-01,P010,S05,60,85
2022-01-02,P001,S01,0,0
2022-01-02,P001,S02,0,0
2022-01-02,P001,S03,2,11
2022-01-02,P001,S04,23,37
2022-01-02,P001,S05,8,10
2022-01-02,P002,S01,0,0
2022-01-02,P002,S02,5,56
2022-01-02,P002,S03,5,13
2022-01-02,P002,S04,9,0
2022-01-02,P002,S05,23,49
2022-01-02,P003,S01,11,0
2022-01-02,P003,S02,21,3
2022-01-02,P003,S03,16,67
2022-01-02,P003,S04,4,0
2022-01-02,P003,S05,19,18
2022-01-02,P004,S01,0,1
2022-01-02,P004,S02,0,9
2022-01-02,P004,S03,5,38
2022-01-02,P004,S04,11,10
2022-01-02,P004,S05,32,23
2022-01-02,P005,S01,8,38
2022-01-02,P005,S02,0,3
2022-01-02,P005,S03,20,45
2022-01-02,P005,S04,12,0
2022-01-02,P005,S05,35,58
2022-01-02,P006,S01,9,20
2022-01-02,P006,S02,7,15
2022-01-02,P006,S03,24,21
2022-01-02,P006,S04,48,81
2022-01-02,P006,S05,24,49
2022-01-02,P007,S01,0,15
2022-01-02,P007,S02,28,25
2022-01-02,P007,S03,35,60
2022-01-02,P007,S04,42,100
2022-01-02,P007,S05,40,44
2022-01-02,P008,S01,0,0
2022-01-02,P008,S02,18,33
2022-01-02,P008,S03,32,64
2022-01-02,P008,S04,39,87
2022-01-02,P008,S05,46,123
2022-01-02,P009,S01,17,8
2022-01-02,P009,S02,11,26
2022-01-02,P009,S03,30,59
2022-01-02,P009,S04,48,70
2022-01-02,P009,S05,46,38
2022-01-02,P010,S01,7,27
2022-01-02,P010,S02,26,14
2022-01-02,P010,S03,38,64
2022-01-02,P010,S04,40,63
2022-01-02,P010,S05,61,68
2022-01-03,P001,S01,4,17
2022-01-03,P001,S02,12,39
2022-01-03,P001,S03,0,0
2022-01-03,P001,S04,9,23
2022-01-03,P001,S05,10,92
2022-01-03,P002,S01,7,33
2022-01-03,P002,S02,13,32
2022-01-03,P002,S03,3,19
2022-01-03,P002,S04,0,0
2022-01-03,P002,S05,5,9
2022-01-03,P003,S01,26,1
2022-01-03,P003,S02,13,0
2022-01-03,P003,S03,4,27
2022-01-03,P003,S04,13,0
2022-01-03,P003,S05,8,25
2022-01-03,P004,S01,0,4
2022-01-03,P004,S02,8,0
2022-01-03,P004,S03,33,62
2022-01-03,P004,S04,0,3
2022-01-03,P004,S05,14,38
2022-01-03,P005,S01,0,0
2022-01-03,P005,S02,15,39
2022-01-03,P005,S03,3,0
2022-01-03,P005,S04,15,9
2022-01-03,P005,S05,43,72
2022-01-03,P006,S01,0,18
2022-01-03,P006,S02,33,70
2022-01-03,P006,S03,3,0
2022-01-03,P006,S04,37,41
2022-01-03,P006,S05,35,67
2022-01-03,P007,S01,0,0
2022-01-03,P007,S02,0,0
2022-01-03,P007,S03,19,3
2022-01-03,P007,S04,45,38
2022-01-03,P007,S05,31,49
