Date,Product_ID,Store_ID,Sales_Quantity,Inventory_Level
2022-02-25,P009,S02,43,72
2022-11-18,P007,S05,20,5
2023-08-31,P006,S01,20,26
2023-11-07,P002,S03,12,10
2022-05-27,P009,S02,33,73
2023-11-02,P004,S04,3,0
2023-01-25,P010,S02,16,52
2023-03-09,P010,S01,4,17
2022-10-15,P005,S01,0,1
2022-11-02,P010,S02,14,39
2022-01-19,P006,S02,2,21
2022-11-17,P001,S01,7,0
2022-12-16,P006,S03,20,17
2022-11-13,P007,S05,5,2
2023-07-06,P001,S01,0,0
2023-11-30,P001,S05,0,0
2023-08-12,P001,S04,0,19
2022-12-03,P002,S05,1,38
2023-09-21,P009,S04,22,45
2022-11-30,P003,S05,8,10
2022-10-20,P003,S03,10,30
2022-08-08,P004,S05,16,15
2023-03-20,P008,S05,64,106
2023-06-14,P003,S03,21,58
2023-07-17,P010,S03,31,20
2022-04-10,P007,S05,67,85
2023-08-22,P005,S01,2,20
2022-12-30,P005,S03,35,19
2022-09-15,P009,S01,0,33
2023-08-22,P007,S01,11,33
2022-10-17,P006,S01,0,0
2023-03-31,P006,S02,26,53
2022-03-19,P003,S02,13,19
2023-10-21,P008,S02,1,4
2023-02-18,P003,S04,16,19
2022-02-02,P009,S01,3,5
2022-06-30,P001,S04,0,0
2023-12-28,P007,S04,22,55
2023-10-21,P001,S05,0,0
2022-12-26,P010,S05,79,120
2022-02-05,P003,S02,0,32
2022-06-14,P010,S04,52,92
2023-08-02,P007,S05,27,65
2023-08-29,P009,S03,17,37
2023-03-26,P005,S01,12,31
2022-09-09,P005,S02,20,9
2023-08-11,P003,S04,0,16
2022-07-25,P003,S04,32,82
2023-07-29,P004,S05,13,59
2022-10-16,P009,S03,12,0
2023-10-05,P004,S04,17,21
2023-04-27,P009,S04,53,81
2022-02-20,P009,S02,32,26
2022-05-12,P010,S02,23,0
2022-11-10,P002,S02,8,32
2022-05-30,P004,S04,23,34
2023-05-02,P010,S05,85,118
2022-05-06,P003,S04,7,37
2023-09-16,P010,S05,31,33
2022-11-14,P007,S05,15,24
2022-05-15,P002,S04,0,0
2023-06-04,P005,S03,27,76
2023-02-14,P003,S02,19,53
2022-02-28,P002,S03,0,13
2022-07-06,P007,S02,6,5
2022-05-10,P009,S02,17,41
2022-06-08,P005,S05,41,99
2023-11-29,P006,S05,48,89
2022-09-12,P003,S02,24,14
2023-11-09,P001,S04,9,31
2023-06-18,P008,S03,52,77
2023-07-24,P010,S05,52,121
2023-07-09,P006,S05,23,20
2023-09-26,P007,S01,0,0
2023-11-04,P010,S03,15,35
2022-01-19,P006,S04,42,57
2022-06-18,P004,S02,17,9
2023-09-28,P006,S02,1,1
2023-02-07,P005,S04,29,53
2023-04-16,P004,S03,19,47
2022-12-07,P004,S04,0,36
2023-08-21,P008,S02,0,6
